radeg,decdeg,Johnson_V,Johnson_B
18.846795,58.676397,14.068,15.018
19.085061,58.82491,14.635,15.014
19.035906,58.827197,13.33,14.984
18.663348,58.683617,14.114,14.981
19.308171,58.702927,13.849,14.98
18.800374,58.922599,13.672,14.98
18.851938,58.637399,14.156,14.979
18.946099,58.903337,14.169,14.973
19.025803,58.949425,14.375,14.953
18.827135,58.663147,14.293,14.947
18.561124,58.662856,14.262,14.94
19.081899,58.792119,14.121,14.934
18.735535,58.913519,14.187,14.931
18.87389,58.99217,13.313,14.919
18.747104,59.049012,13.899,14.904
18.663803,58.683397,14.054,14.894
19.405222,58.825903,13.32,14.887
18.985639,58.843985,14.175,14.841
19.291176,58.86458,13.564,14.837
18.806588,58.72256,13.956,14.798
18.732846,58.942751,14.191,14.793
19.116523,58.926556,14.042,14.789
19.025279,58.884346,14.14,14.78
19.118936,58.839989,13.989,14.745
18.879991,58.817726,14.018,14.737
19.308596,58.740229,13.909,14.716
19.079739,58.592284,14.099,14.713
18.911338,59.018702,13.921,14.712
18.713778,59.022399,13.878,14.709
18.617849,58.856675,13.776,14.677
19.082213,58.850561,13.861,14.665
19.20982,58.702555,13.677,14.648
19.019649,58.563523,12.519,14.645
18.834341,59.068328,13.236,14.644
19.431769,58.886523,13.315,14.628
19.343897,58.71478,13.987,14.602
18.749396,58.791936,14.26,14.583
18.553422,58.885618,13.568,14.571
18.804556,59.068938,12.824,14.568
19.28423,58.797176,13.235,14.564
18.985477,58.863983,14.308,14.56
19.379254,58.678589,14.211,14.559
18.962996,58.851732,14.072,14.552
19.209895,58.956971,13.975,14.539
18.91909,58.791842,13.389,14.511
18.905911,58.897365,13.826,14.509
18.868698,58.780514,13.399,14.495
18.672123,58.626196,14.05,14.491
18.730092,58.920548,14.146,14.487
19.074387,58.697167,13.53,14.481
18.518148,58.789484,13.668,14.473
18.565107,58.771314,13.672,14.459
19.074462,58.69715,13.407,14.457
18.689569,58.738295,13.781,14.45
19.004046,58.723237,13.562,14.447
18.965766,58.56237,13.77,14.356
18.988742,58.66362,13.469,14.339
19.137965,58.901827,12.937,14.323
18.703677,58.649194,12.298,14.317
19.030599,58.86101,13.98,14.313
19.419471,58.739337,12.894,14.301
19.071043,58.819226,13.921,14.294
19.167793,58.600697,12.201,14.286
18.931216,58.958977,13.569,14.273
18.784689,58.672096,12.43,14.266
19.154024,58.961849,13.519,14.221
19.009763,58.833187,13.937,14.206
18.862189,58.678013,13.464,14.19
19.179359,58.923893,13.698,14.184
19.201285,58.913895,12.856,14.156
18.928252,58.878522,13.063,14.149
19.26381,58.677188,13.523,14.134
19.221406,58.818914,13.271,14.125
18.907669,58.918458,12.429,14.123
18.823386,58.948196,12.788,14.114
19.009463,58.740273,13.334,14.098
18.815993,58.765253,12.444,14.066
19.219207,58.629714,13.23,14.059
19.321576,58.929627,13.363,14.048
19.148514,58.7377,13.522,14.042
19.073336,58.808716,13.758,14.041
18.901261,58.721614,13.36,14.031
18.901229,58.72143,13.438,13.991
19.199424,58.722954,13.464,13.986
19.044803,58.954581,13.664,13.961
19.136392,58.931156,13.555,13.954
18.925717,58.783657,13.309,13.927
18.98843,58.936693,13.582,13.917
19.323953,58.720825,12.572,13.896
18.8166,58.789376,13.389,13.889
19.100081,59.068861,13.057,13.855
19.348427,58.641105,12.834,13.843
18.799316,58.773166,13.115,13.839
18.991787,59.067045,11.873,13.822
19.062531,58.802438,13.547,13.821
19.05416,58.641821,13.038,13.811
18.946036,58.828785,13.587,13.803
19.084366,58.66539,13.257,13.799
18.701654,58.969769,12.273,13.786
18.95786,58.731203,13.327,13.753
19.282077,58.688439,13.003,13.741
19.021886,58.827965,13.462,13.737
19.419476,58.85624,13.248,13.721
18.860083,58.565112,13.296,13.717
19.340979,58.936884,12.616,13.71
19.167533,58.749161,12.39,13.706
19.366831,58.733546,12.937,13.704
18.834456,58.833925,13.288,13.686
18.823723,59.072376,13.207,13.669
18.55688,58.72954,12.717,13.669
