radeg,decdeg,Johnson_V,Johnson_B
83.967548,34.113371,14.955,15.802
84.201784,34.26762,15.159,15.801
84.043312,34.135395,15.068,15.798
84.231792,34.323998,15.038,15.785
84.257796,34.286877,15.122,15.781
83.919897,33.958685,14.993,15.77
84.197951,33.891158,14.869,15.759
84.113968,34.371899,14.101,15.751
84.120108,34.222974,14.834,15.738
84.166512,34.149425,15.021,15.731
83.928539,34.030242,14.137,15.728
84.198871,34.307901,14.833,15.709
84.217109,34.219921,14.791,15.696
84.215627,34.129887,15.101,15.692
84.016828,33.947822,14.971,15.678
84.035938,34.068438,14.881,15.667
84.067308,34.180977,14.815,15.664
84.096631,34.240451,13.621,15.656
83.987453,34.302364,14.782,15.654
84.112135,34.026434,14.877,15.653
84.291847,33.923475,14.642,15.646
83.821237,34.098392,14.711,15.645
83.809156,34.28144,14.856,15.629
84.315409,34.228748,14.675,15.595
84.047786,34.177028,14.732,15.587
83.844966,33.96669,13.334,15.582
84.044267,33.880092,14.87,15.578
83.884277,33.94228,14.836,15.575
83.836551,34.082747,14.647,15.552
84.120009,34.235125,14.795,15.546
84.170126,34.037935,14.096,15.539
84.005717,34.093086,14.793,15.53
84.037129,33.957193,14.751,15.526
83.962675,34.376632,14.694,15.525
84.179627,34.222132,14.771,15.501
84.261725,33.91928,14.671,15.49
84.174827,34.212357,14.736,15.472
83.90332,33.905714,14.657,15.46
83.934066,34.174715,14.747,15.459
83.964637,34.157693,14.695,15.456
84.126692,34.049146,14.573,15.444
84.270102,34.061934,14.689,15.439
83.876034,34.059831,14.707,15.431
83.993525,34.136695,14.68,15.431
83.920442,34.121481,14.403,15.424
84.063428,34.265734,14.752,15.423
84.323521,33.997592,14.694,15.422
83.944675,34.021447,14.154,15.42
84.259069,34.056511,14.37,15.417
83.831163,33.954453,14.352,15.411
84.279667,34.091547,14.64,15.41
83.842368,34.227116,14.439,15.409
83.932418,33.873533,14.642,15.393
83.981895,34.168892,14.612,15.391
84.153047,33.989221,14.48,15.39
83.808048,34.288903,14.296,15.387
83.904465,34.025634,14.44,15.379
83.910052,34.362501,14.417,15.369
84.189259,34.217176,14.621,15.359
84.246208,34.045601,13.535,15.359
84.357079,34.101837,14.586,15.358
83.958988,33.881722,14.827,15.354
83.891236,34.005778,14.596,15.347
84.110984,34.114846,14.453,15.341
83.864401,34.141839,14.616,15.329
84.109698,33.965911,14.624,15.319
84.174891,34.103719,14.497,15.317
83.862179,34.132558,14.23,15.317
83.854589,34.310436,14.718,15.308
84.194374,34.058957,14.726,15.307
84.382718,34.05773,14.413,15.306
83.881739,34.128525,14.706,15.3
83.801125,34.232799,14.255,15.299
84.143124,33.869036,14.453,15.284
83.996317,34.263515,13.838,15.279
84.218823,34.142917,14.411,15.26
84.316088,34.117465,14.33,15.26
84.151527,34.297292,14.847,15.254
84.195814,34.244801,14.555,15.254
84.324799,33.953961,14.454,15.242
83.887468,33.903691,14.435,15.231
84.074378,34.261425,14.442,15.206
84.013217,33.937201,13.897,15.2
83.761797,34.2014,14.541,15.197
84.13078,34.274253,14.497,15.187
84.092577,34.074391,14.476,15.184
84.293605,33.993692,14.374,15.184
84.104434,34.010934,14.593,15.173
83.922287,34.019001,14.238,15.168
84.259134,34.333679,13.109,15.16
83.936277,34.132584,14.218,15.145
84.080762,34.187738,14.463,15.142
83.881004,34.139378,14.353,15.142
83.762072,34.221075,14.046,15.136
84.03728,34.316503,14.419,15.124
84.138925,34.101474,14.048,15.11
84.119349,34.163786,14.376,15.088
83.914598,33.994151,14.265,15.088
83.891422,33.964766,14.327,15.086
84.07956,33.963651,14.35,15.076
84.265485,34.183731,13.715,15.06
84.201545,34.087088,14.294,15.059
84.04132,34.147762,14.524,15.031
84.362345,34.079652,14.282,15.024
83.938055,34.325871,14.192,15.019
84.308202,33.987118,13.781,15.019
84.123272,34.313361,14.21,15.007
83.939014,33.891157,14.52,15
83.900047,34.301528,14.145,14.979
83.994205,34.224235,14.255,14.976
84.048634,34.311616,13.133,14.964
83.907298,34.145397,14.181,14.962
84.154877,34.21079,14.215,14.953
83.826229,34.178699,14.292,14.934
83.933152,33.899097,14.145,14.931
83.889894,34.039785,14.237,14.915
84.184437,34.119548,14.12,14.885
83.900731,34.151115,14.218,14.876
84.081868,34.155169,14.248,14.86
83.849818,33.980053,14.148,14.86
83.882186,33.957528,14.108,14.859
83.881412,34.102529,14.28,14.853
84.324219,34.202477,14.164,14.851
84.117804,34.205829,14.214,14.842
83.829274,34.159996,14.095,14.837
84.139363,34.170666,14.193,14.832
84.13406,34.367716,13.22,14.822
