radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
195.924331,0.374,-10.73168,0.345,17.423,0.13,16.363,0.09
196.081648,0.308,-10.340214,0.302,17.134,0.039,16.358,0.011
195.91714,0.351,-10.681723,0.28,16.918,0.02,16.353,0.097
196.012209,0.446,-9.949726,0.318,16.827,0.08,16.349,0.095
196.355364,0.434,-10.614993,0.458,16.878,0.039,16.341,0.102
196.229098,0.35,-10.565995,0.252,17.118,0.051,16.329,0.064
196.220709,0.645,-10.282148,0.367,17.074,0.086,16.328,0.066
195.793339,0.553,-10.202798,0.425,17.661,0.125,16.327,0.072
196.047368,0.32,-10.036235,0.22,17.014,0.063,16.323,0.064
196.423603,0.497,-10.229843,0.376,16.708,0.073,16.318,0.102
196.36236,0.31,-10.146911,0.441,17.2,0.051,16.317,0.044
195.829573,0.442,-10.167497,0.294,17.077,0.074,16.309,0.04
195.819259,0.288,-10.153189,0.231,16.154,0.043,16.295,0.076
196.106468,0.407,-10.471837,0.273,17.059,0.055,16.284,0.079
196.021943,0.545,-10.074207,0.242,17.07,0.107,16.277,0.044
195.775158,0.483,-10.213422,0.366,16.778,0.045,16.266,0.071
196.272978,0.484,-10.070823,0.386,17.03,0.058,16.261,0.102
196.033516,0.305,-10.565327,0.311,16.713,0.055,16.255,0.05
196.423534,0.61,-10.299311,0.312,16.738,0.058,16.252,0.04
195.973643,0.368,-10.59433,0.358,16.686,0.065,16.251,0.056
195.788617,0.334,-10.048414,0.274,16.843,0.043,16.246,0.083
195.977696,0.669,-10.005595,0.412,17.547,0.06,16.242,0.055
196.170849,0.386,-10.05135,0.328,17.638,0.106,16.23,0.072
195.909391,0.526,-10.055417,0.325,16.804,0.076,16.226,0.078
196.311892,0.43,-10.666752,0.494,17.082,0.084,16.216,0.043
195.949061,0.351,-10.112899,0.355,16.873,0.041,16.202,0.047
195.68432,0.468,-10.354645,0.285,16.655,0.036,16.196,0.107
196.160282,0.266,-10.672604,0.262,16.604,0.084,16.171,0.131
196.030124,0.403,-9.923896,0.211,16.621,0.055,16.167,0.084
196.168508,0.474,-9.998973,0.49,16.923,0.078,16.166,0.057
196.284476,0.363,-10.640209,0.316,16.647,0.051,16.154,0.04
195.941036,0.286,-10.597395,0.357,17.14,0.069,16.15,0.059
195.975776,0.535,-9.999297,0.268,16.627,0.035,16.146,0.076
196.343479,0.853,-10.290876,0.463,17.494,0.093,16.126,0.159
196.083475,0.437,-9.923142,0.343,17.106,0.1,16.12,0.085
196.092717,0.414,-10.702394,0.383,17.21,0.123,16.118,0.082
195.792841,0.248,-10.430646,0.387,16.511,0.023,16.106,0.039
195.783805,0.367,-10.4813,0.236,16.594,0.054,16.104,0.042
196.048412,0.315,-10.394205,0.247,16.59,0.05,16.102,0.061
196.172281,0.316,-10.639051,0.342,16.666,0.042,16.095,0.037
196.292937,0.517,-10.673621,0.571,16.697,0.021,16.085,0.035
196.376365,0.682,-10.438202,0.553,16.82,0.045,16.061,0.026
195.919343,0.445,-10.171353,0.357,16.565,0.039,16.061,0.065
195.681254,0.374,-10.334355,0.195,16.69,0.056,16.054,0.061
195.834234,0.371,-10.280462,0.25,16.824,0.035,16.032,0.078
196.133356,0.351,-10.512347,0.258,16.952,0.049,16.028,0.112
196.00754,0.335,-10.254564,0.145,16.342,0.038,16.022,0.046
196.036624,0.268,-10.253005,0.218,16.613,0.055,16.02,0.048
196.248981,0.456,-10.284965,0.233,16.328,0.025,16.017,0.097
196.268301,0.352,-10.403598,0.235,16.521,0.015,16.006,0.064
196.154625,0.265,-10.463377,0.237,16.44,0.033,16.003,0.041
195.864925,0.284,-10.279638,0.287,16.531,0.051,15.994,0.06
195.935171,0.263,-10.506033,0.229,16.436,0.038,15.991,0.047
196.186535,0.278,-10.242163,0.375,16.419,0.03,15.988,0.048
195.707512,0.688,-10.142085,0.236,16.551,0.053,15.985,0.043
195.882447,0.327,-10.654985,0.194,16.368,0.047,15.983,0.035
196.356296,0.648,-10.229903,0.25,17.383,0.09,15.98,0.027
196.236756,0.373,-10.650339,0.159,16.442,0.04,15.98,0.04
195.91882,0.206,-10.70221,0.179,16.356,0.036,15.98,0.058
196.095674,0.424,-10.201118,0.222,16.184,0.049,15.98,0.07
196.420883,0.57,-10.445265,0.375,16.906,0.013,15.979,0.037
196.247797,0.348,-10.66512,0.274,16.464,0.04,15.971,0.032
196.0949,0.319,-10.657569,0.372,16.705,0.047,15.96,0.038
195.97987,0.408,-10.513388,0.314,16.772,0.046,15.957,0.077
196.337441,0.62,-10.581079,0.498,17.004,0.076,15.956,0.097
196.253735,0.285,-10.325798,0.203,16.553,0.041,15.954,0.065
196.040542,0.26,-10.616195,0.221,16.431,0.026,15.945,0.046
195.975428,0.479,-10.319634,0.235,16.413,0.046,15.942,0.062
