radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
195.746031,0.155,-10.369022,0.153,15.224,0.046,15.873,0.038,15.547,0.023,15.141,0.033
196.094203,0.194,-10.370799,0.144,15.441,0.024,16.42,0.066,15.914,0.054,15.128,0.041
196.222386,0.119,-10.262631,0.138,15.289,0.03,16.063,0.076,15.627,0.034,15.127,0.052
196.261206,0.319,-10.247188,0.162,15.216,0.038,15.767,0.03,15.461,0.023,15.101,0.025
196.082961,0.189,-10.295836,0.136,15.522,0.027,16.844,0.057,16.197,0.051,15.073,0.03
196.037569,0.222,-10.443249,0.179,15.323,0.038,16.257,0.055,15.771,0.029,15.058,0.044
195.836464,0.206,-10.275681,0.107,15.388,0.044,16.371,0.06,15.882,0.058,15.029,0.056
196.212569,0.163,-10.463312,0.185,15.21,0.025,15.905,0.038,15.527,0.009,15.014,0.033
195.760315,0.2,-10.255681,0.151,15.603,0.046,17.077,0.156,16.34,0.043,15.008,0.034
196.047102,0.261,-10.318227,0.134,15.229,0.026,16.187,0.055,15.644,0.045,14.994,0.029
195.742574,0.336,-10.220915,0.147,15.02,0.035,15.579,0.056,15.253,0.033,14.944,0.024
196.180286,0.326,-10.147808,0.197,15.197,0.04,16.045,0.043,15.583,0.019,14.94,0.036
196.193004,0.272,-10.513581,0.165,15.036,0.02,15.853,0.067,15.395,0.021,14.813,0.037
196.082171,0.329,-10.423226,0.236,15.275,0.05,16.447,0.058,15.894,0.052,14.795,0.039
196.041451,0.186,-10.486178,0.123,15.357,0.021,16.751,0.102,16.051,0.034,14.794,0.025
195.979963,0.13,-10.230217,0.194,14.924,0.039,15.683,0.045,15.271,0.015,14.765,0.017
196.192805,0.239,-10.135227,0.2,14.941,0.043,15.766,0.047,15.302,0.029,14.764,0.03
195.938286,0.248,-10.060932,0.255,15.118,0.035,16.135,0.059,15.591,0.041,14.743,0.043
196.070193,0.218,-10.164657,0.206,14.982,0.01,15.809,0.08,15.357,0.031,14.739,0.029
195.78939,0.288,-10.300959,0.23,14.892,0.038,15.518,0.043,15.177,0.02,14.712,0.018
196.261267,0.347,-10.30534,0.267,14.966,0.046,15.807,0.041,15.348,0.04,14.707,0.044
196.261245,0.286,-10.395431,0.347,14.886,0.029,15.667,0.019,15.227,0.044,14.691,0.017
195.944579,0.23,-10.321691,0.189,14.877,0.031,15.845,0.033,15.337,0.019,14.558,0.03
195.987525,0.219,-10.442327,0.248,14.814,0.026,15.716,0.055,15.264,0.035,14.541,0.053
196.249861,0.225,-10.449558,0.226,14.654,0.029,15.272,0.029,14.908,0.014,14.539,0.033
