radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
196.419548,0.298,-10.36517,0.196,15.025,0.025,6,15.661,0.053,6,NA,NA,0,15.299,0.022,6,14.9,0.043,6,14.743,0.197,6,NA,NA,0,NA,NA,0
196.420883,0.57,-10.445265,0.375,16.304,0.083,5,17.477,0.092,5,NA,NA,0,16.906,0.013,6,15.979,0.037,6,15.575,0.147,5,NA,NA,0,NA,NA,0
196.421884,0.36,-10.525968,0.468,NA,NA,0,NA,NA,0,NA,NA,0,17.846,0.039,2,17.162,0.047,2,16.615,0.121,2,NA,NA,0,NA,NA,0
196.423534,0.61,-10.299311,0.312,16.556,0.061,6,17.218,0.133,6,NA,NA,0,16.738,0.058,6,16.252,0.04,6,15.963,0.129,5,NA,NA,0,NA,NA,0
196.423603,0.497,-10.229843,0.376,16.42,0.097,6,17.157,0.189,6,NA,NA,0,16.708,0.073,5,16.318,0.102,5,16.35,0.264,4,NA,NA,0,NA,NA,0
196.423891,0.252,-10.501898,0.104,9.156,0.025,3,10.429,0.261,6,NA,NA,0,10.157,0.54,6,8.822,0.014,3,8.542,0.015,3,8.411,0.044,3,NA,NA,0
196.424714,0.34,-10.421323,0.247,16.741,0.139,5,17.355,0.14,5,NA,NA,0,17.044,0.087,5,16.453,0.089,5,16.535,0.247,5,NA,NA,0,NA,NA,0
196.425176,0.129,-10.192364,0.141,12.472,0.03,6,13.056,0.017,6,NA,NA,0,12.715,0.015,6,12.336,0.043,6,12.208,0.169,6,12.161,0.011,3,NA,NA,0
196.426855,0.432,-10.345652,0.317,14.889,0.028,6,16.378,0.092,6,NA,NA,0,15.605,0.038,6,14.436,0.037,6,13.941,0.166,6,13.99,0.249,1,NA,NA,0
196.435584,0.228,-10.232221,0.238,13.434,0.021,6,14.397,0.022,6,NA,NA,0,13.881,0.035,6,13.171,0.028,6,12.909,0.163,6,12.733,0.053,2,NA,NA,0
196.443675,0.33,-10.364516,0.204,13.813,0.022,6,14.526,0.028,6,NA,NA,0,14.138,0.021,6,13.641,0.031,6,13.488,0.153,6,13.484,0.159,2,NA,NA,0
196.447985,0.259,-10.345273,0.239,15.971,0.036,6,16.777,0.075,6,NA,NA,0,16.373,0.057,6,15.739,0.031,6,15.575,0.05,5,NA,NA,0,NA,NA,0
196.448423,0.289,-10.268854,0.263,NA,NA,0,NA,NA,0,NA,NA,0,17.858,0.136,4,17.04,0.149,4,NA,NA,0,NA,NA,0,NA,NA,0
196.457169,0.937,-10.291626,0.6,16.843,0.118,6,17.69,0.226,6,NA,NA,0,17.186,0.167,6,16.602,0.166,6,16.373,0.108,5,NA,NA,0,NA,NA,0
